Player,ID,Team,Opponent,Round,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Brownlow,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Time Played,Year
Rory Lobb,12282,FR,ES,1,13,7,2,15,2,0,9,2,1,3,1,2,0,0,1,7,9,4,0,3,0,1,95,2020
Griffin Logue,12511,FR,ES,1,2,1,4,6,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,5,0,0,100,2020
Cam McCarthy,12315,FR,ES,1,8,3,3,11,0,1,0,1,2,1,0,2,1,0,0,4,8,0,0,1,0,0,69,2020
Luke Ryan,12542,FR,ES,1,9,1,2,11,0,0,0,0,2,0,0,2,0,2,0,2,6,0,0,3,0,0,83,2020
Lachie Schultz,12700,FR,ES,1,6,4,3,9,0,0,0,2,1,4,0,1,1,0,0,3,6,0,0,0,0,0,77,2020
Sam Sturt,12765,FR,ES,1,5,3,5,10,3,0,0,2,0,2,0,0,1,0,0,4,6,1,2,0,0,0,82,2020
Matthew Taberner,12205,FR,ES,1,6,5,4,10,1,2,0,0,0,1,0,5,0,3,0,5,5,3,3,1,0,0,95,2020
Darcy Tucker,12426,FR,ES,1,10,6,13,23,0,0,0,2,0,3,3,5,0,0,0,7,18,0,0,1,0,2,77,2020
Michael Walters,11763,FR,ES,1,11,4,10,21,1,0,0,2,2,6,5,3,1,0,0,9,11,0,1,1,1,2,87,2020
Aliir Aliir,12433,SY,AD,1,6,3,5,11,0,0,4,2,2,1,2,2,0,2,0,6,6,1,0,5,0,0,88,2020
Nick Blakey,12699,SY,AD,1,5,2,3,8,1,1,0,1,0,0,1,1,1,0,0,5,3,0,1,0,0,1,74,2020
Kaiden Brand,12435,SY,AD,1,8,5,3,11,0,0,0,1,3,1,0,1,0,0,0,5,6,2,0,5,0,0,86,2020
Harry Cunningham,12015,SY,AD,1,10,3,2,12,0,0,0,2,3,4,1,3,0,1,0,2,8,0,0,1,0,2,83,2020
Jordan Dawson,12516,SY,AD,1,12,4,6,18,0,0,0,2,3,1,0,2,0,2,0,4,12,0,0,1,0,1,83,2020
Oliver Florent,12497,SY,AD,1,15,2,6,21,0,1,0,2,1,5,6,1,0,0,0,9,12,0,0,1,0,1,79,2020
Sam Gray,12262,SY,AD,1,9,3,7,16,1,0,0,3,0,2,0,4,2,0,0,8,8,0,0,1,0,0,84,2020
Will Hayward,12509,SY,AD,1,2,1,2,4,2,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,0,89,2020
Isaac Heeney,12326,SY,AD,1,12,5,4,16,4,1,0,4,2,1,0,2,1,0,3,12,5,1,3,2,0,0,86,2020
Josh Kennedy,11672,SY,AD,1,13,2,12,25,1,0,0,7,2,3,10,5,2,1,1,16,9,0,0,0,0,0,79,2020
Jake Lloyd,12268,SY,AD,1,10,4,7,17,0,0,0,1,4,2,1,3,1,2,0,5,13,0,0,4,0,0,91,2020
Tom McCartin,12627,SY,AD,1,7,3,4,11,1,1,2,1,0,2,1,1,2,0,0,5,6,1,2,1,0,1,81,2020
Justin McInerney,12711,SY,AD,1,7,1,8,15,0,0,0,2,1,0,1,3,3,1,0,8,6,0,0,2,0,0,69,2020
Callum Mills,12413,SY,AD,1,11,4,7,18,0,0,0,3,2,1,0,3,1,0,0,6,11,0,0,3,0,0,96,2020
Sam Naismith,12313,SY,AD,1,9,1,2,11,0,0,28,4,3,3,5,2,3,1,0,8,3,1,0,3,0,0,84,2020
Colin ORiordan,12658,SY,AD,1,7,3,8,15,0,0,0,2,1,1,1,3,1,2,0,5,8,0,0,3,0,0,76,2020
Tom Papley,12412,SY,AD,1,11,6,4,15,1,2,0,3,0,2,2,3,0,0,0,5,9,0,0,1,0,0,91,2020
Luke Parker,11953,SY,AD,1,16,5,14,30,0,0,0,6,2,4,12,5,1,1,2,13,16,0,0,1,0,0,86,2020
Dane Rampe,12140,SY,AD,1,8,4,2,10,0,0,0,3,2,0,0,2,1,1,0,2,7,0,0,11,0,0,92,2020
Ben Ronke,12616,SY,AD,1,6,1,3,9,0,0,0,6,0,2,1,5,1,3,0,7,3,0,0,1,0,1,61,2020
James Rowbottom,12714,SY,AD,1,9,1,2,11,0,1,0,3,1,5,2,2,1,1,0,3,8,0,0,0,0,0,61,2020
Lewis Taylor,12252,SY,AD,1,7,5,2,9,0,1,0,4,1,1,0,1,0,0,0,1,8,0,1,0,0,0,82,2020
Rory Atkins,12381,AD,SY,1,6,1,8,14,1,0,0,5,2,1,0,2,0,0,0,8,7,1,1,0,0,1,79,2020
Luke Brown,12106,AD,SY,1,9,2,2,11,0,0,0,1,5,1,1,3,0,0,0,4,4,0,0,3,0,0,87,2020
Brad Crouch,12156,AD,SY,1,10,0,10,20,0,0,0,4,1,6,5,4,1,3,0,12,8,0,0,0,0,0,77,2020
Matt Crouch,12258,AD,SY,1,7,1,11,18,0,0,0,3,1,3,3,2,0,0,0,4,13,0,0,0,0,1,73,2020
Ben Davis,12737,AD,SY,1,4,2,1,5,1,0,0,2,0,2,0,0,3,0,0,4,2,1,0,1,2,0,85,2020
Darcy Fogarty,12584,AD,SY,1,4,4,4,8,1,0,0,0,0,1,0,2,1,2,0,3,5,1,1,1,0,1,84,2020
