Player,Team,Round 0,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Total Votes
JACOB HOPPER,RI,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,0,0,7
BEN KEAYS,AD,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,7
TOUK MILLER,GC,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,7
JAKE MELKSHAM,ME,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,7
LACHIE WHITFIELD,GW,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7
JAMES PEATLING,AD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2,0,7
JORDAN CLARK,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,7
AARON CADMAN,GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6
JOHN NOBLE,GC,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,6
MARCUS WINDHAGER,SK,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,6
MITCH GEORGIADES,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6
JYE CALDWELL,ES,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5
BRODIE GRUNDY,SY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5
STEELE SIDEBOTTOM,CW,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
CLAYTON OLIVER,ME,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,5
TOM DE KONING,CA,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5
JAMES WORPEL,HW,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5
